"Reference","Qty","Value","Footprint","Datasheet"
"C1","1","225k/2.2uf","Capacitor_THT:C_Rect_L18.0mm_W6.0mm_P15.00mm_FKS3_FKP3",""
"C2","1","0.1uf","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"C3","1","C=1000uf/35V","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"C4","1","C=470uf/16V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"D1,D2,D3,D4","4","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D5,D6","2","D_Zener","Diode_THT:D_A-405_P7.62mm_Horizontal",""
"D7","1","LED","LED_THT:LED_D5.0mm",""
"J1,J2","2","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"R1","1","R=1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R2,R3","2","R=20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R4","1","R=2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"U2","1","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
